ranking,EDV,EDM
738,2.9,337658.2318
739,2.9,337260.6831
740,2.9,336864.1391
741,2.9,336468.5959
742,2.9,336074.0496
743,2.8,335680.4964
744,2.8,335287.9325
745,2.8,334896.354
746,2.8,334505.7572
747,2.8,334116.1383
748,2.8,333727.4935
749,2.8,333339.819
750,2.8,332953.1113
751,2.8,332567.3666
752,2.8,332182.5812
753,2.8,331798.7514
754,2.8,331415.8737
755,2.8,331033.9444
756,2.8,330652.9598
757,2.8,330272.9165
758,2.8,329893.8109
759,2.8,329515.6393
760,2.8,329138.3983
761,2.8,328762.0844
762,2.8,328386.6941
763,2.8,328012.2239
764,2.8,327638.6703
765,2.8,327266.03
766,2.7,326894.2994
767,2.7,326523.4752
768,2.7,326153.554
769,2.7,325784.5325
770,2.7,325416.4072
771,2.7,325049.1748
772,2.7,324682.832
773,2.7,324317.3756
774,2.7,323952.8022
775,2.7,323589.1085
776,2.7,323226.2914
777,2.7,322864.3475
778,2.7,322503.2736
779,2.7,322143.0666
780,2.7,321783.7232
781,2.7,321425.2403
782,2.7,321067.6147
783,2.7,320710.8433
784,2.7,320354.9229
785,2.7,319999.8505
786,2.7,319645.6228
787,2.7,319292.237
788,2.7,318939.6898
789,2.7,318587.9783
790,2.6,318237.0993
791,2.6,317887.05
792,2.6,317537.8272
793,2.6,317189.428
794,2.6,316841.8494
795,2.6,316495.0885
796,2.6,316149.1422
797,2.6,315804.0077
798,2.6,315459.682
799,2.6,315116.1623
800,2.6,314773.4456
801,2.6,314431.5291
802,2.6,314090.4099
803,2.6,313750.0851
804,2.6,313410.552
805,2.6,313071.8076
806,2.6,312733.8493
807,2.6,312396.6741
808,2.6,312060.2793
809,2.6,311724.6622
810,2.6,311389.8199
811,2.6,311055.7498
812,2.6,310722.4491
813,2.6,310389.9151
814,2.6,310058.145
815,2.5,309727.1363
816,2.5,309396.8862
817,2.5,309067.3921
818,2.5,308738.6512
819,2.5,308410.661
820,2.5,308083.4189
821,2.5,307756.9222
822,2.5,307431.1683
823,2.5,307106.1546
824,2.5,306781.8786
825,2.5,306458.3377
826,2.5,306135.5293
827,2.5,305813.4508
828,2.5,305492.0999
829,2.5,305171.4738
830,2.5,304851.5703
831,2.5,304532.3866
832,2.5,304213.9204
833,2.5,303896.1692
834,2.5,303579.1305
835,2.5,303262.8018
836,2.5,302947.1808
837,2.5,302632.265
838,2.5,302318.052
839,2.5,302004.5394
840,2.5,301691.7247
841,2.4,301379.6057
842,2.4,301068.1799
843,2.4,300757.445
844,2.4,300447.3987
845,2.4,300138.0385
846,2.4,299829.3622
847,2.4,299521.3674
848,2.4,299214.0519
849,2.4,298907.4133
850,2.4,298601.4493
851,2.4,298296.1578
852,2.4,297991.5363
853,2.4,297687.5828
854,2.4,297384.2948
855,2.4,297081.6702
856,2.4,296779.7068
857,2.4,296478.4023
858,2.4,296177.7546
859,2.4,295877.7614
860,2.4,295578.4206
861,2.4,295279.7299
862,2.4,294981.6873
863,2.4,294684.2905
864,2.4,294387.5375
865,2.4,294091.426
866,2.4,293795.954
867,2.4,293501.1194
868,2.3,293206.9199
869,2.3,292913.3536
870,2.3,292620.4184
871,2.3,292328.1121
872,2.3,292036.4327
873,2.3,291745.3782
874,2.3,291454.9464
875,2.3,291165.1354
876,2.3,290875.9431
877,2.3,290587.3674
878,2.3,290299.4065
879,2.3,290012.0582
880,2.3,289725.3205
881,2.3,289439.1915
882,2.3,289153.6692
883,2.3,288868.7516
884,2.3,288584.4368
885,2.3,288300.7228
886,2.3,288017.6076
887,2.3,287735.0894
888,2.3,287453.1661
889,2.3,287171.8359
890,2.3,286891.0969
891,2.3,286610.9471
892,2.3,286331.3846
893,2.3,286052.4077
894,2.3,285774.0143
895,2.3,285496.2026
896,2.2,285218.9707
897,2.2,284942.3169
898,2.2,284666.2392
899,2.2,284390.7358
900,2.2,284115.8049
901,2.2,283841.4447
902,2.2,283567.6532
903,2.2,283294.4289
904,2.2,283021.7697
905,2.2,282749.674
